model_name,threshold,accuracy,recall_dead,precision_dead,f1_dead,f2_dead,roc_auc,pr_auc,false_negatives,recall_alive,precision_alive,f1_alive,timestamp
RF + NONE,0.21,0.7292,0.4309,0.2637,0.3272,0.3824,0.7034,0.9246,70,0.783,0.8841,0.8305,2026-06-16T13:20:17.331039
RF + SMOTE,0.21,0.6261,0.6911,0.2443,0.3609,0.506,0.704,0.9283,38,0.6144,0.9168,0.7357,2026-06-16T13:20:25.105668
RF + ADASYN,0.21,0.6037,0.6423,0.2232,0.3312,0.4669,0.6995,0.927,44,0.5968,0.9024,0.7184,2026-06-16T13:20:32.238487
RF + SMOTEENN,0.21,0.4944,0.8862,0.2171,0.3488,0.5483,0.729,0.9344,14,0.4238,0.9538,0.5868,2026-06-16T13:20:39.131943
RF + SMOTETOMEK,0.21,0.6186,0.6748,0.2371,0.351,0.4929,0.702,0.9256,40,0.6085,0.9121,0.73,2026-06-16T13:20:46.473678
