model_name,threshold,accuracy,recall_dead,precision_dead,f1_dead,f2_dead,roc_auc,pr_auc,false_negatives,recall_alive,precision_alive,f1_alive,timestamp
Balanced RF,0.21,0.3118,0.9675,0.1779,0.3005,0.5125,0.7094,0.9285,4,0.1935,0.9706,0.3227,2026-06-16T13:21:37.809499
EasyEnsemble,0.21,0.1528,1.0,0.1528,0.2651,0.4742,0.7674,0.9456,0,0.0,0.0,0.0,2026-06-16T13:22:18.607631
XGBoost,0.21,0.8211,0.1789,0.3385,0.234,0.1975,0.6719,0.9195,101,0.937,0.8635,0.8987,2026-06-16T13:22:21.525209
LightGBM,0.21,0.6398,0.4878,0.2091,0.2927,0.3851,0.6727,0.9177,63,0.6672,0.8784,0.7583,2026-06-16T13:22:27.108557
